"sale_id","sku_id","customer_id","quantity_sold","selling_price","discount_amount","total_amount","payment_method","delivery_status","customer_rating"
"1","2547","1041","2","270","81","459","Credit Card","Delivered","3.0"
"2","1268","1078","5","73","18","347","Cash on Delivery","Cancelled","4.0"
"3","965","1050","1","89","0","89","UPI","Delivered","3.0"
"4","2705","1102","4","34","0","136","Credit Card","Cancelled","4.5"
"5","3084","1005","1","106","5","101","Cash on Delivery","Delivered","3.0"
"6","3386","1144","4","75","24","276","UPI","Out for Delivery","5.0"
"7","2027","1139","4","230","138","782","Debit Card","Delivered","4.5"
"8","924","1092","4","128","51","461","Debit Card","Delivered","5.0"
"9","2415","1009","4","230","92","828","Debit Card","Delivered","4.0"
"10","3199","1018","5","89","44","401","Cash on Delivery","Delivered","3.5"
"11","1651","1016","4","154","49","567","Credit Card","Delivered","3.0"
"12","3231","1131","2","98","24","172","Cash on Delivery","Cancelled","4.0"
"13","1273","1088","4","30","10","110","Credit Card","Delivered","3.5"
"14","3413","1044","5","250","188","1062","Cash on Delivery","Delivered","4.5"
"15","3045","1035","2","120","29","211","Wallet","Delivered","5.0"
"16","3677","1026","1","298","30","268","UPI","Out for Delivery","4.5"
"17","1855","1054","5","94","0","470","Credit Card","Cancelled","4.0"
"18","729","1136","1","167","17","150","Credit Card","Delivered","4.0"
"19","3303","1014","3","71","26","187","Debit Card","Delivered","3.0"
"20","3269","1057","5","225","112","1013","Credit Card","Out for Delivery","3.5"
"21","1994","1055","5","248","99","1141","Cash on Delivery","Delivered","4.0"
"22","3712","1122","4","99","59","337","Credit Card","Delivered","4.5"
"23","1069","1082","2","41","4","78","Cash on Delivery","Delivered","3.0"
"24","2873","1066","4","199","0","788","Cash on Delivery","Out for Delivery","4.5"
"25","3402","1134","3","266","120","678","UPI","Delivered","4.5"
"26","833","1020","1","194","19","175","Debit Card","Delivered","5.0"
"27","2447","1013","5","77","19","366","Cash on Delivery","Delivered","4.0"
"28","2239","1051","2","50","12","88","Credit Card","Delivered","4.5"
"29","603","1002","2","48","14","82","Debit Card","Out for Delivery","3.0"
"30","1034","1055","5","95","71","404","UPI","Cancelled","3.0"
"31","851","1092","4","48","15","177","UPI","Delivered","3.0"
"32","3152","1139","5","68","27","313","Cash on Delivery","Delivered","3.5"
"33","513","1097","1","423","42","381","Wallet","Cancelled","3.0"
"34","2751","1126","4","29","0","116","Cash on Delivery","Out for Delivery","3.5"
"35","3419","1047","2","221","53","389","Credit Card","Delivered","3.5"
"36","2257","1048","3","45","16","119","UPI","Delivered","3.5"
"37","1946","1065","3","128","0","384","Debit Card","Out for Delivery","3.0"
"38","3019","1016","2","334","80","588","UPI","Delivered","4.0"
"39","470","1124","2","150","36","264","Credit Card","Out for Delivery","5.0"
"40","1855","1121","4","94","38","338","Credit Card","Cancelled","4.0"
"41","2785","1125","5","30","12","138","Cash on Delivery","Out for Delivery","3.5"
"42","223","1080","1","72","6","66","UPI","Delivered","3.0"
"43","3678","1060","1","246","12","234","Credit Card","Cancelled","4.0"
"44","355","1094","5","88","35","405","Wallet","Delivered","3.0"
"45","3425","1038","3","194","58","524","Wallet","Delivered","3.0"
